dappNAme,category,users,Platform,Devact,Volume7d,github,status,Date,license
DAPCAR,Games,0,Ethereum,0,0,null,Beta,"Feb 13th, 2019",Private
Oracle-D,Social,0,Steem,0,0,https://github.com/oracle-d?utm_source=StateOfTheDApps,Live,"Dec 17th, 2018",Proprietary
Dharma Protocol,Finance,0,Ethereum,3,0,https://github.com/dharmaprotocol?utm_source=StateOfTheDApps,Live,"Jun 28th, 2017",Open Source
The HODL Community,Games,4,Ethereum,0,0,null,Live,"Nov 12th, 2018",Unknown license
Go Battle Arena,Games,0,GoChain,0,0,null,Beta,"Jul 13th, 2019",Proprietary
Aurora,Finance,8,Ethereum,0,0,null,Prototype,"Dec 21st, 2018",Unknown license
BlockTix,Media,2,Ethereum,0,0,https://github.com/blocktix?utm_source=StateOfTheDApps,Live,"May 9th, 2017",GPL
Kauri,Development,0,Ethereum,228,0,https://github.com/kauri-io?utm_source=StateOfTheDApps,Live,"Mar 30th, 2018",CC-BY-SA-4.0
Bityond,Social,0,Ethereum,0,0,https://github.com/Bityond/Smart-Contracts?utm_source=StateOfTheDApps,Prototype,"Mar 28th, 2019",Proprietary
CryptoKaiju,Games,2,Ethereum,0,0,null,Live,"Dec 6th, 2018",Unknown license
Lords of the Snails,Games,0,Ethereum,0,0,https://github.com/snailking/lordsofthesnails?utm_source=StateOfTheDApps,Live,"Feb 2nd, 2019",MIT
RadiCards,Social,0,Ethereum,7,0,https://github.com/radicards?utm_source=StateOfTheDApps,Live,"Dec 18th, 2018",MIT
OpenWeb Network,Development,0,Ethereum,1,0,https://github.com/openweb-network?utm_source=StateOfTheDApps,Beta,"Jan 28th, 2019",LGPL-3.0
SportBet,Gambling,46,EOS,0,74248,https://github.com/sportbetone?utm_source=StateOfTheDApps,Live,"Apr 16th, 2019",Unknown license
EOSlots,Gambling,334,EOS,0,7393,null,Live,"Jan 16th, 2019",Proprietary
SnailFarm 3,Games,1,Ethereum,0,15,null,Live,"Dec 10th, 2018",MIT
CryptoChampions,Games,0,Ethereum,0,0,null,Live,"Jun 24th, 2019",MIT
Crypto-Cards,Marketplaces,0,Ethereum,3,0,https://github.com/phatcats/cryptocards_contracts?utm_source=StateOfTheDApps,Live,"Mar 6th, 2019",Proprietary
Roulette,Gambling,210,EOS,0,108904,null,Live,"Apr 16th, 2019",Unknown license
La Rescalta,Development,0,Ethereum,0,0,https://github.com/NACH74?utm_source=StateOfTheDApps,Live,"Apr 17th, 2019",Unknown license
CryptoMotors,Games,0,Ethereum,0,0,null,Live,"Nov 9th, 2018",Private
SPIN Protocol,Marketplaces,0,Klaytn,20,0,https://github.com/spinprotocol?utm_source=StateOfTheDApps,Prototype,"Aug 2nd, 2019",Unknown license
Nexus Mutual,Insurance,0,Ethereum,3,0,https://github.com/somish/NexusMutual?utm_source=StateOfTheDApps,Live,"Jun 22nd, 2018",GPL v3.0
NEXGEN,Exchanges,0,Ethereum,0,0,null,Live,"Jun 18th, 2019",GPL
Cryptographics,Media,0,Ethereum,0,0,https://github.com/DecenterApps/Cryptographics?utm_source=StateOfTheDApps,Live,"Oct 5th, 2018",Unknown license
CryptoMania Slots,Gambling,85,EOS,0,296895,null,Live,"May 7th, 2019",Open Source
0xRacers (EOS),Games,1,EOS,0,18,null,Beta,"Aug 8th, 2019",Unknown license
High Fidelity,Social,0,EOS,2791,0,https://github.com/highfidelity?utm_source=StateOfTheDApps,Live,"Jan 23rd, 2019",Apache License 2.0
CryptoZombies,Development,0,Ethereum,573,0,https://github.com/loomnetwork?utm_source=StateOfTheDApps,Live,"Jan 2nd, 2018",Unknown license
Joos Protocol,Finance,1,Ethereum,0,0,null,WIP,"Mar 17th, 2019",Unknown license
buffiDai,Wallet,0,xDai,24,0,https://github.com/austintgriffith/burner-wallet?utm_source=StateOfTheDApps,Live,"Feb 19th, 2019",MIT
Streamr Core,Development,0,Ethereum,500,0,https://github.com/streamr-dev?utm_source=StateOfTheDApps,Beta,"Jun 18th, 2019",Unknown license
Colu Local Network,Finance,2,Ethereum,0,0,https://github.com/colucom/CLN-solidity?utm_source=StateOfTheDApps,Live,"Jun 17th, 2018",MIT
Vevue,Social,0,Ethereum,1,0,https://github.com/vevue?utm_source=StateOfTheDApps,Live,"Aug 10th, 2015",javascript
Atidium,Finance,2,EOS,0,0,https://github.com/atidium?utm_source=StateOfTheDApps,WIP,"Sep 20th, 2018",Unknown license
Lexiconomy,Marketplaces,1,Ethereum,0,0,null,Live,"Apr 14th, 2019",Unknown license
RichCat,Games,0,Ethereum,0,0,null,Live,"Apr 23rd, 2019",MIT
DMF Wallet,Wallet,0,Ethereum,0,0,null,Live,"Mar 20th, 2019",Proprietary
Alice Finance,Finance,0,Loom,22,0,https://github.com/alice-finance/money-market?utm_source=StateOfTheDApps,Live,"Jul 11th, 2019",MIT
savemyluggage,Insurance,0,Ethereum,0,0,https://github.com/REGA-RS/LuggageCrowdsurance?utm_source=StateOfTheDApps,Live,"Sep 7th, 2018",MIT
Searx,Social,0,Ethereum,0,0,https://github.com/agnelvishal/searx-by-sarchy?utm_source=StateOfTheDApps,Live,"Jul 23rd, 2019",GPL
Nova Wallet,Wallet,0,EOS,0,0,https://github.com/EOSNOVA?utm_source=StateOfTheDApps,Live,"Nov 2nd, 2018",Apache License 2.0
Poethry,Social,0,Ethereum,0,2,null,Live,"Aug 9th, 2019",Unknown license
The Goat Analyzer,Games,2,Ethereum,0,0,null,Live,"Aug 20th, 2018",MIT
steemblr,Social,0,Steem,1,0,https://github.com/snwolak/steemblr?utm_source=StateOfTheDApps,Live,"Dec 20th, 2018",MIT
CoinPledge,Games,0,Ethereum,0,0,https://github.com/ylv-io/coinpledge?utm_source=StateOfTheDApps,Live,"Nov 24th, 2018",MIT
Viewly,Media,0,Ethereum,0,0,https://github.com/Viewly?utm_source=StateOfTheDApps,Live,"Jun 19th, 2018",MIT
Sand Hero,Games,0,EOS,0,0,null,Live,"Feb 20th, 2019",Proprietary
Verity Hive,Marketplaces,0,Ethereum,0,0,https://github.com/verity-network?utm_source=StateOfTheDApps,Live,"Apr 9th, 2019",Unknown license
StemQ,Social,0,Steem,0,0,null,Live,"Dec 18th, 2018",Unknown license
ETH TOWN,Games,1,Ethereum,0,0,null,Live,"Mar 13th, 2018",Proprietary
DTrip,Social,0,Steem,0,0,https://github.com/d-trip/DTrip?utm_source=StateOfTheDApps,Beta,"Dec 22nd, 2018",MIT
UnlimitedTower,Games,0,EOS,2,0,https://github.com/DevToothCrew?utm_source=StateOfTheDApps,WIP,"Feb 3rd, 2019",Unknown license
Serenus Coin,Finance,0,Ethereum,0,0,https://github.com/serenuscoin?utm_source=StateOfTheDApps,Beta,"Feb 4th, 2019",MIT
HIPR,Games,0,Ethereum,11,0,https://github.com/hercone/hipr?utm_source=StateOfTheDApps,Live,"Jan 29th, 2019",APACHE 2.0
Etherbots,Games,4,Ethereum,0,365,https://github.com/EtherBots?utm_source=StateOfTheDApps,Live,"Mar 12th, 2018",MIT
Most Expensive Artwork,Media,1,Ethereum,0,0,null,Live,"Nov 18th, 2018",Unknown license
CryptoSaga,Games,1,Ethereum,0,0,https://github.com/cryptosaga/cryptosaga?utm_source=StateOfTheDApps,Live,"Feb 1st, 2018",MIT
Play0x,Gambling,7,Ethereum,0,0,null,Live,"Mar 2nd, 2019",Unknown license
D8X,Exchanges,2,Ethereum,0,0,null,Live,"Mar 25th, 2019",Proprietary
Paytomat,Wallet,0,EOS,0,0,https://github.com/Paytomat?utm_source=StateOfTheDApps,WIP,"Jan 15th, 2019",MIT
Magnetic,Games,1,EOS,0,2,null,Live,"Mar 13th, 2019",Proprietary
WhoisENS,Identity,0,Ethereum,0,0,https://github.com/whoisens?utm_source=StateOfTheDApps,Live,"May 31st, 2019",MIT
Expo,Exchanges,0,Ethereum,438,0,https://github.com/dydxprotocol?utm_source=StateOfTheDApps,Live,"Feb 12th, 2019",Unknown license
b0x,Finance,0,Ethereum,30,0,https://github.com/bzxnetwork?utm_source=StateOfTheDApps,Live,"Jun 9th, 2018",Apache
Start Solar,Energy,0,Ethereum,0,0,null,Beta,"Sep 11th, 2018",Unknown license
Wombat,Wallet,0,EOS,0,0,null,Beta,"May 28th, 2019",Unknown license
StablePay,Finance,0,Ethereum,0,0,https://github.com/StablePay?utm_source=StateOfTheDApps,WIP,"Mar 26th, 2019",MIT
Bigbom,Media,1,Ethereum,8,0,https://github.com/bigbomio?utm_source=StateOfTheDApps,Beta,"Dec 21st, 2018",GPL 3.0
TokenMaker,Finance,0,Ethereum,0,18,null,Live,"Mar 1st, 2019",Software license GPL3
Steemeum,Finance,0,Steem,0,0,null,Beta,"Dec 22nd, 2018",Proprietary
Zerion,Finance,0,Ethereum,4,0,https://github.com/zeriontech?utm_source=StateOfTheDApps,Live,"Mar 4th, 2019",Proprietary
Steem Slot Games,Gambling,13,Steem,0,1159,null,Live,"Jan 2nd, 2019",Proprietary
CryptoWars,Games,0,Loom,11,0,https://github.com/e11-io?utm_source=StateOfTheDApps,Live,"May 17th, 2019",GNU GPL V3.0
DAV,Social,3,Ethereum,32,0,https://github.com/DAVFoundation?utm_source=StateOfTheDApps,Prototype,"Dec 21st, 2018",Unknown license
Dapp365,Gambling,240,EOS,0,1965390,null,Live,"Feb 12th, 2019",Unknown license
CryptoConstellations,Games,0,Ethereum,0,0,https://github.com/CryptoConstellations/CryptoConstellations?utm_source=StateOfTheDApps,Live,"Apr 11th, 2019",MIT
Classic Baccarat,Gambling,213,EOS,0,152802,null,Live,"Apr 16th, 2019",Unknown license
Korporatio,Governance,0,Ethereum,0,0,null,Live,"Nov 17th, 2018",Unknown license
TomoDome,Property,0,Ethereum,0,0,null,Live,"Mar 31st, 2019",Proprietary
Sharpay,Social,1,Ethereum,5,0,https://github.com/sharpay-io?utm_source=StateOfTheDApps,Prototype,"Jul 3rd, 2018",Unknown license
DexWallet,Wallet,0,Ethereum,30,0,https://github.com/dexlab-io?utm_source=StateOfTheDApps,Live,"Mar 5th, 2019",Proprietary
ETHSimple,Identity,0,Ethereum,0,0,null,Live,"Jan 22nd, 2019",Proprietary
CanSend,Wallet,0,Ethereum,0,0,https://github.com/canyaio?utm_source=StateOfTheDApps,Live,"Sep 23rd, 2018",Unknown license
Insights Network,Storage,1,Ethereum,0,0,null,Prototype,"Feb 8th, 2018",Unknown license
RiotCats,Games,0,Ethereum,0,0,null,Live,"Sep 13th, 2018",Unknown license
Gladius,Security,0,Ethereum,35,0,https://github.com/gladiusio?utm_source=StateOfTheDApps,Beta,"Nov 14th, 2018",Unknown license
fantasy coiner,Games,0,Ethereum,0,0,null,Beta,"Jul 31st, 2019",Unknown license
Humaniq,Finance,2,Ethereum,0,0,https://github.com/humaniq?utm_source=StateOfTheDApps,Prototype,"Aug 30th, 2017",Unknown license
Colony,Governance,0,Ethereum,971,0,https://github.com/JoinColony?utm_source=StateOfTheDApps,Live,"Sep 29th, 2015",GPLv3
cXc Music,Media,0,Steem,0,0,https://github.com/currentxchange/cxc-music-web-alpha?utm_source=StateOfTheDApps,Beta,"Dec 27th, 2018",Proprietary (for now)
CryptoFlip Cars,Games,0,Ethereum,0,0,null,Live,"Mar 20th, 2018",MIT
Cryptoestate,Games,0,Ethereum,0,0,null,Beta,"May 20th, 2019",MIT
Sprtshub,Social,0,EOS,0,0,null,Live,"Aug 10th, 2019",Proprietary
CryptoToons,Games,0,Ethereum,0,0,https://github.com/TheMindhouse/cryptotoons-solidity?utm_source=StateOfTheDApps,Live,"Aug 17th, 2018",MIT
Cinezen,Media,0,Ethereum,0,0,null,Live,"Jan 23rd, 2019",MIT
Proof of Love,Social,0,Ethereum,0,0,https://github.com/DecentLabs/proof-of-love?utm_source=StateOfTheDApps,Live,"Jan 28th, 2019",MIT
EthPolls,Governance,0,Ethereum,0,0,https://github.com/sliriano/EthPolls?utm_source=StateOfTheDApps,Beta,"Sep 4th, 2018",GPL
Asterisma,Property,0,Ethereum,0,0,null,Live,"May 5th, 2018",Private
Steemitworldmap,Social,0,Steem,0,0,https://github.com/steemitworldmap/steemworldmap.com?utm_source=StateOfTheDApps,Live,"Jul 1st, 2019",Unknown license
KillFish,Games,0,Ethereum,0,0,null,Live,"Feb 1st, 2019",Proprietary
minereum,Exchanges,3,Ethereum,0,0,null,Live,"May 16th, 2017",Unknown license
MoonCryptoPolis,Games,0,Ethereum,0,16,null,Live,"Jan 29th, 2019",Unknown license
steemwallet,Wallet,0,Steem,14,0,https://github.com/roelandp/steemwallet?utm_source=StateOfTheDApps,Live,"Dec 18th, 2018",Creative Commons 4.0
Scratchers,Gambling,224,EOS,0,2794,null,Live,"Apr 16th, 2019",Unknown license
Discussions,Social,0,EOS,0,0,https://github.com/Novusphere?utm_source=StateOfTheDApps,WIP,"Jan 29th, 2019",Unknown license
Dragonking,Games,0,Ethereum,0,0,null,Live,"Jun 25th, 2018",Unlicensed
EZNFT,Development,0,Ethereum,0,0,null,Live,"Mar 25th, 2019",Proprietary
Blockonix,Exchanges,1,Ethereum,0,0,null,Live,"Aug 19th, 2018",MIT
HEROcoin,Gambling,51,Ethereum,0,0,https://github.com/Byte-Heroes?utm_source=StateOfTheDApps,Live,"Aug 2nd, 2018",Unknown license
imToken,Wallet,0,Ethereum,1175,0,https://github.com/consenlabs?utm_source=StateOfTheDApps,Live,"Apr 14th, 2017",n/a
Steem Ninja,Wallet,0,Steem,0,0,null,Live,"Jan 31st, 2019",Proprietary
Settle,Finance,0,Ethereum,54,0,https://github.com/SettleFinance?utm_source=StateOfTheDApps,Live,"Dec 9th, 2018",Proprietary
Newdex,Exchanges,31,EOS,0,191647,null,Live,"Sep 19th, 2018",Unknown license
Dcontest,Social,0,Steem,0,0,https://github.com/jankulik/Dcontest?utm_source=StateOfTheDApps,Live,"Apr 21st, 2019",MIT
coogger,Social,0,Steem,136,0,https://github.com/coogger?utm_source=StateOfTheDApps,Beta,"Dec 18th, 2018",MIT
Multis,Finance,0,Ethereum,0,0,null,Live,"Nov 20th, 2018",EUIPO
Hundredniuniu,Gambling,149,EOS,0,173225,null,Live,"Apr 16th, 2019",Unknown license
CryptoPepes,Games,0,Ethereum,0,0,https://github.com/cryptopepes?utm_source=StateOfTheDApps,Live,"Oct 14th, 2018",Unknown license
Atra Blockchain,Development,0,Ethereum,0,0,null,Live,"May 1st, 2019",Proprietary
Battle Trivia,Games,1,EOS,0,2,null,Beta,"May 23rd, 2019",Unknown license
KIWI,Development,3,Ethereum,1,0,https://github.com/liberation-online?utm_source=StateOfTheDApps,Live,"Jun 14th, 2018",GNU AGPL 3.0
IQeon,Games,0,Ethereum,0,0,https://twitter.com/iqeon?lang=en&utm_source=StateOfTheDApps,Beta,"Aug 2nd, 2019",no
CryptoCare,Games,0,Ethereum,2,0,https://github.com/philbirt/cryptocare-contracts?utm_source=StateOfTheDApps,Live,"Oct 22nd, 2018",Proprietary
Trust Wallet,Wallet,0,Ethereum,2430,0,https://github.com/TrustWallet?utm_source=StateOfTheDApps,Live,"Nov 26th, 2017",GPL
ICONOMI,Finance,0,Ethereum,0,0,null,Prototype,"May 9th, 2017",Unknown license
Etherisc Flight Delay Insurance,Insurance,0,Ethereum,2,0,https://github.com/etherisc?utm_source=StateOfTheDApps,Live,"Feb 8th, 2017",Apache 2.0
AmisDex,Exchanges,0,Ethereum,0,3,https://github.com/amis-erc20/amisdex?utm_source=StateOfTheDApps,Live,"Sep 12th, 2018",MIT
Castle Buidl,Games,0,Ethereum,0,0,https://github.com/castle-buidl?utm_source=StateOfTheDApps,Live,"Mar 2nd, 2019",Unknown license
CryptoBoiler,Social,0,Ethereum,0,0,null,Live,"Jul 20th, 2019",Proprietary
FiatDex Protocol,Exchanges,0,Ethereum,13,0,https://github.com/happypsyduck/fiatdex-gateway?utm_source=StateOfTheDApps,Beta,"Aug 8th, 2019",MIT
AI Network,Development,0,Ethereum,0,0,null,Beta,"Jun 18th, 2019",Proprietary
SingularX,Exchanges,11,Ethereum,0,18184,null,Live,"Oct 8th, 2018",Unknown license
EOS Gift Card,Wallet,0,EOS,0,0,https://github.com/slyon/signup?utm_source=StateOfTheDApps,Live,"Mar 11th, 2019",MIT (smart contract)
Utopian,Development,0,Steem,1,0,https://github.com/utopian-io?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",GPL-3.0+
HireGo,Property,0,Ethereum,0,0,https://github.com/hirego?utm_source=StateOfTheDApps,Live,"Jan 28th, 2019",Proprietary
SteemNova,Games,0,Steem,0,0,https://github.com/steemnova/steemnova?utm_source=StateOfTheDApps,Live,"Dec 26th, 2018",MIT
MonitorChain,Security,0,Ethereum,1,0,https://github.com/ZenchainSoftware?utm_source=StateOfTheDApps,Live,"Aug 22nd, 2018",GPL-2.0
Share2Steem,Social,0,Steem,0,0,null,Live,"Dec 16th, 2018",Proprietary
EtherDragons Arena,Games,0,Ethereum,0,0,https://github.com/RHunter008/EtherDragons-Arena?utm_source=StateOfTheDApps,Beta,"Dec 25th, 2018","GPL, Proprietary"
Red VS Blue,Gambling,152,EOS,0,23561,null,Live,"Apr 16th, 2019",Unknown license
TokenWarriors,Games,0,Ethereum,0,0,null,Live,"Apr 5th, 2019",Unknown license
NOWNodes,Development,0,Ethereum,0,0,null,Live,"Jul 16th, 2019",Unknown license
WalletConnect,Wallet,0,Ethereum,152,0,https://github.com/walletconnect?utm_source=StateOfTheDApps,Prototype,"Nov 27th, 2018",LGPL
TheBigCoin,Marketplaces,0,Ethereum,0,0,null,Live,"Sep 17th, 2018",Unknown license
YiDaiBi,Development,0,Ethereum,0,0,https://github.com/yidaibi?utm_source=StateOfTheDApps,Live,"Jul 12th, 2019",MIT
Crypto Barons,Games,0,Ethereum,0,0,null,Live,"Mar 28th, 2018",Proprietary
BetHash,Gambling,138,EOS,0,378347,null,Live,"Mar 28th, 2019",Unknown license
Musicoin,Media,0,Ethereum,106,0,https://github.com/Musicoin?utm_source=StateOfTheDApps,Prototype,"Jan 24th, 2017",MIT
HODL St.,Games,0,Ethereum,0,0,null,Live,"Oct 21st, 2018",Unknown license
MillionDollarDAPP,Media,0,Ethereum,0,0,https://github.com/MillionDollarDapp?utm_source=StateOfTheDApps,Live,"Oct 10th, 2018",MIT
NaviAddress,Identity,2,Ethereum,0,0,null,Prototype,"Nov 7th, 2018",Unknown license
à table !,Games,0,Ethereum,0,0,null,Live,"Nov 26th, 2018",Unknown license
Lothlor Token Fund,Finance,0,Ethereum,0,0,null,Live,"Feb 17th, 2019",GPL
Tippit,Finance,0,Ethereum,0,0,null,Live,"Mar 29th, 2019",Proprietary
Mirocana,Finance,0,Ethereum,0,0,null,Prototype,"Nov 14th, 2018",Unknown license
Poketto,Wallet,0,xDai,27,0,https://github.com/pokettocash?utm_source=StateOfTheDApps,Live,"Jul 1st, 2019","(GPLv3, MPLv2)"
BUZZi,Social,0,Steem,0,0,null,Beta,"Jul 24th, 2019",MIT
MarriageOnTheBlock,Governance,0,Ethereum,0,0,https://github.com/claudebarde/MarriageOnTheBlock?utm_source=StateOfTheDApps,Live,"Mar 23rd, 2019",MIT
GammaDEX,Exchanges,0,Ethereum,0,0,null,Live,"Aug 23rd, 2018",Unknown license
Steem2wls,Social,0,Steem,0,0,null,Live,"Jul 2nd, 2019",Proprietary
Loanbase,Finance,0,Ethereum,0,0,https://github.com/CognitoChain?utm_source=StateOfTheDApps,Beta,"Mar 13th, 2019",Proprietary
DARK FOREST,Games,0,Ethereum,0,0,null,Live,"Jul 8th, 2019",Unknown license
Stake Them ALL,Games,0,Ethereum,0,0,null,Live,"Apr 19th, 2019",Proprietary
InkDrop,Social,0,Ethereum,0,0,https://github.com/inkdrop-network?utm_source=StateOfTheDApps,Beta,"Oct 10th, 2018",GPL-3.0
CVerification,Identity,0,Ethereum,0,0,null,Beta,"Mar 25th, 2019",Unknown license
DaieSthaiWar,Games,0,Steem,0,0,null,WIP,"Apr 8th, 2019",Unknown license
Pulsecoin,Marketplaces,0,Ethereum,0,0,null,Live,"Apr 15th, 2019",Private
bulktokensending,Development,0,Ethereum,0,0,https://github.com/bulktokensending?utm_source=StateOfTheDApps,Live,"Mar 9th, 2019",GNU
Mythereum,Games,1,Ethereum,0,2,null,Live,"Feb 5th, 2018",MIT
QuikNode,Development,0,Ethereum,0,0,null,Live,"Aug 4th, 2017",Unknown license
Editional,Social,1,Ethereum,15,0,https://github.com/vaultio?utm_source=StateOfTheDApps,Live,"Apr 30th, 2019",Unknown license
Kelsen,Governance,0,Ethereum,0,0,https://github.com/97network/kelsen?utm_source=StateOfTheDApps,Beta,"Feb 20th, 2019",LGPL
Monotreme,Social,0,Ethereum,0,0,null,Live,"Apr 4th, 2019",Proprietary
HDX20,Games,0,Ethereum,0,0,null,Live,"Oct 5th, 2018",Proprietary
3Box,Development,0,Ethereum,103,0,https://github.com/uport-project/3box?utm_source=StateOfTheDApps,Live,"Oct 5th, 2018",Apache 2
UQUID,Finance,0,Ethereum,0,0,null,Live,"Dec 21st, 2018",Unknown license
ReggaeSteem,Social,0,Steem,0,0,null,Live,"Jul 21st, 2019",Proprietary
Multiprizer,Games,0,Ethereum,0,0,https://github.com/kombos/mp-ethereum?utm_source=StateOfTheDApps,Live,"Apr 19th, 2019",Apache 2.0
Joyso,Exchanges,1,Ethereum,0,20,https://github.com/Joyso-io?utm_source=StateOfTheDApps,Live,"Aug 7th, 2018",Unknown license
EOS Royale,Gambling,550,EOS,0,2797,null,Live,"Dec 21st, 2018",Unknown license
MTonomy,Media,0,Ethereum,0,0,null,Live,"Jan 9th, 2019",Proprietary
Bionic,Development,2,Ethereum,0,0,https://github.com/bioniccoin/BNC?utm_source=StateOfTheDApps,Prototype,"Dec 21st, 2018",Unknown license
RetroArt Auction,Marketplaces,0,Ethereum,0,0,null,Live,"Apr 24th, 2019",Proprietary
voting dapp,Social,0,Ethereum,0,0,https://github.com/vieiralc/voting-dapp?utm_source=StateOfTheDApps,Live,"Feb 20th, 2019",MIT
SmartLotto,Games,0,Ethereum,0,0,null,Live,"Dec 14th, 2018",MIT
Aion Scheduling System,Development,0,Ethereum,15,0,https://github.com/ETH-Pantheon/Aion?utm_source=StateOfTheDApps,Live,"Dec 31st, 2018",MIT
TIMM,Social,0,Steem,0,0,null,Beta,"Dec 28th, 2018",GPL
Torpedo LAUNCH,Games,0,Ethereum,0,0,null,Live,"Dec 1st, 2018",Proprietary
MXRT Tribes of War,Games,0,Ethereum,0,0,null,Live,"Apr 7th, 2019",MIT
CryptoBaskets,Marketplaces,0,Ethereum,2,0,https://github.com/CoinAlpha/basket-protocol?utm_source=StateOfTheDApps,Live,"Aug 3rd, 2018",Proprietary
Cosmos,Development,0,Ethereum,3968,0,https://github.com/cosmos?utm_source=StateOfTheDApps,Live,"Nov 22nd, 2017",Unknown license
Ceremony,Wallet,0,POA,2,0,https://github.com/poanetwork/poa-dapps-keys-generation?utm_source=StateOfTheDApps,Live,"Aug 14th, 2018",MIT
CryptoWeddings,Social,0,Ethereum,0,0,https://github.com/TovarishFin/crypto-weddings-contracts?utm_source=StateOfTheDApps,Live,"Jul 28th, 2019",Unknown license
Cubego,Games,0,Ethereum,0,0,null,Live,"Nov 23rd, 2018",Unknown license
PokerChained,Gambling,13,EOS,0,547,https://github.com/GrapheneLab/PokerChained?utm_source=StateOfTheDApps,Beta,"Mar 22nd, 2019",Proprietary
alias.earth,Identity,0,Ethereum,1,0,https://github.com/lovvtide/alias-earth-core?utm_source=StateOfTheDApps,Beta,"May 5th, 2019",GNU
Manekio,Gambling,8,Ethereum,0,0,null,Live,"Jun 21st, 2019",MIT
Snip3d,Games,0,Ethereum,0,0,null,Live,"Oct 25th, 2018",GNU GPLv3
meVu,Social,0,Ethereum,0,0,https://github.com/mevu-bet?utm_source=StateOfTheDApps,Beta,"Oct 5th, 2017",Proprietary
DelegateCall,Social,0,Loom,671,0,https://github.com/loomnetwork?utm_source=StateOfTheDApps,Live,"May 17th, 2019",Unknown license
BravoCoin,Social,0,Steem,0,0,https://github.com/bravo-project?utm_source=StateOfTheDApps,Live,"Apr 16th, 2019",MIT
PLinc,Gambling,5,Ethereum,0,743,null,Live,"Jan 19th, 2019",GNU GPLv3
Steemitalia,Social,0,Steem,0,0,null,Beta,"Jan 15th, 2019",Unknown license
EthexBet,Gambling,4,Ethereum,0,1227,https://github.com/ethex-bet/ethex-contracts?utm_source=StateOfTheDApps,Live,"Mar 14th, 2019",MIT
Totem,Wallet,0,Ethereum,0,0,https://github.com/totem-network?utm_source=StateOfTheDApps,Live,"Apr 2nd, 2019",GPL
EOS Account Creator,Development,4,EOS,1,4221,https://github.com/angelol/eos_account_creator?utm_source=StateOfTheDApps,Live,"Sep 19th, 2018",MIT
Crypto Lottery,Games,0,Ethereum,0,0,https://github.com/cryptolott/cryptolott.github.io?utm_source=StateOfTheDApps,Live,"Jun 9th, 2019",MIT
Doges on Trial,Governance,0,Ethereum,203,0,https://github.com/kleros?utm_source=StateOfTheDApps,Live,"Aug 14th, 2018",MIT
AidChain,Social,4,Ethereum,0,0,null,Prototype,"Dec 21st, 2018",Unknown license
NuCypher,Security,0,Ethereum,635,0,https://github.com/nucypher?utm_source=StateOfTheDApps,Beta,"Mar 5th, 2019",AGPL
AirGap,Wallet,0,Ethereum,44,0,https://github.com/airgap-it?utm_source=StateOfTheDApps,Live,"Dec 21st, 2018",not set
Whois0x,Identity,0,Ethereum,0,0,https://github.com/fireblock?utm_source=StateOfTheDApps,Live,"Mar 28th, 2019",Proprietary
Envelop,Storage,0,Ethereum,172,0,https://github.com/envelop-app?utm_source=StateOfTheDApps,Live,"Aug 9th, 2019",MIT
Governance,Social,0,POA,1,0,https://github.com/poanetwork/poa-dapps-voting?utm_source=StateOfTheDApps,Live,"Aug 14th, 2018",GPL
Blue Protocol,Security,2,Ethereum,0,0,null,Prototype,"Dec 21st, 2018",Unknown license
Mann O'Taur,Media,0,Ethereum,0,0,https://github.com/tokenville?utm_source=StateOfTheDApps,Live,"Oct 15th, 2018",Proprietary
EOS TAPSONIC VR,Games,0,EOS,0,0,null,Live,"Oct 30th, 2018",Unknown license
SwapToken,Finance,0,Ethereum,0,0,null,Live,"May 8th, 2019",MIT
Slugroad (xDai),Games,0,xDai,0,0,https://github.com/snailking/slugroad?utm_source=StateOfTheDApps,Live,"Mar 4th, 2019",MIT
EOSJOY,Games,1,EOS,0,0,null,Beta,"Jan 21st, 2019",Unknown license
NeuralGirls,Media,0,Ethereum,0,0,null,Live,"Jul 20th, 2019",Proprietary
OriginTrail's Open Call,Development,0,Ethereum,99,0,https://github.com/origintrail?utm_source=StateOfTheDApps,Live,"Jan 23rd, 2019",Apache-2.0
Name Bazaar,Exchanges,0,Ethereum,1,0,https://github.com/district0x/name-bazaar?utm_source=StateOfTheDApps,Live,"Oct 28th, 2017",GPL
MyEtherGames,Gambling,24,Ethereum,0,3829,null,WIP,"Mar 11th, 2019",Unknown license
Steemzzang,Social,0,Steem,0,0,null,Beta,"Jul 11th, 2019",Mit
Guardian Gold,Finance,0,Ethereum,0,0,null,Live,"Jan 31st, 2019",MIT
Scorchable Payments,Finance,0,Ethereum,0,0,https://github.com/stobiewan/scorchable-payments?utm_source=StateOfTheDApps,Live,"Jan 15th, 2019",MIT
Token transfer Dapp,Finance,0,Ethereum,24,0,https://github.com/ico-busses/token-transfer-dapp?utm_source=StateOfTheDApps,Live,"Dec 19th, 2018",GNU GPLv3.0
CryptoCities,Games,9,Ethereum,0,0,null,Live,"May 23rd, 2018",Unknown license
CryptoSpin,Games,2,Ethereum,0,182,null,Live,"May 24th, 2018",MIT
Fetch,Wallet,0,Ethereum,0,0,null,Live,"Nov 29th, 2018",Proprietary
Slot machine,Gambling,228,EOS,0,163252,null,Live,"Apr 16th, 2019",Unknown license
