Name,category,Balance,User,Volume24,Volume7d,Txn24,Txn7d,platform,github,smartContract
Proofbox,other,0,2,0,0,2,25,  ETH,null,1
Nifty Football,games,0,2,0,0,3,3,  ETH,null,3
Meme Factory,marketplaces,0,2,0,0,3,51,  ETH,null,0
Footbattle,games,0,2,0,0,51,160,  ETH,null,3
Xether,gambling,390000,2,49,183,122,482,  TRON,null,2
TRON JOYSO,exchanges,496000,2,1200,13100,269,1800,  TRON,null,1
TronMine,high-risk,5500,2,0,0,3,7,  TRON,null,1
Captain Black Bill,other,16.05,2,2,114,5,258,  EOS,null,1
EOS Name Service,other,1500,2,4,84,2,20,  EOS,null,1
Avatar Maker,games,0,2,0,0,2,14,  EOS,null,1
FFGame,gambling,5600,2,0,0,25,165,  EOS,null,8
WeDice,gambling,1900,2,0,29,3,149,  EOS,null,0
pixEOS Paint,games,1100,2,0,5,3,435,  EOS,null,1
StackChips,gambling,129.78,2,0,0,2,2,  EOS,null,1
Nebula,other,0.22,2,0,0,4,40,  EOS,null,6
EOS Name Swaps,marketplaces,68.57,2,0,3200,2,12,  EOS,['https://github.com/starryjapannight/eosnameswaps'],2
Real BlackJack,gambling,713.5,2,0,3,5,28,  EOS,null,1
Crypto Heroes,games,1100,2,60,723,2,30,  EOS,null,1
Grand Casino,gambling,22900,2,66,111,151,310,  TRON,null,9
Bet500 __»»_Î_¢_Ö,gambling,9.81,2,0,0,1700,12100,  EOS,null,4
Mintable,other,2.75,2,4,14,2,7,  ETH,null,2
Mythereum,games,0.12,2,0,0,11,73,  ETH,null,5
Ryu Games Layer-2,games,0,2,1,4,677,2500,  ONT,null,0
Tron Plinko,gambling,433600,2,7,63,6,36,  TRON,null,1
TronWin Casino + 333 ROI + TWN mining,gambling,1700,2,0,38,3,527,  TRON,null,8
1DICE,gambling,259.25,2,14,76,15,121,  EOS,null,0
Tron: Lord Of The World,high-risk,26000,2,3,22,2,15,  TRON,null,0
EOS Goods - _ô_Î___ÖÎñ,other,445.3,2,0,1,3,12,  EOS,null,0
CrossWorlds Studios,games,59.41,2,0,83,16,66,  EOS,null,2
ÎÎÇ BiBiDai,other,81.4,1,0,0,1,4,  EOS,null,1
MeeChat,other,0,1,0,0,1,4,  EOS,null,0
TRONSILVER,high-risk,18200,1,0,0,4,41,  TRON,null,1
TRXBLACK,high-risk,7900,1,0,0,2,11,  TRON,null,2
ONTLAND,games,0,1,974,2900,5700,41700,  ONT,null,0
GoodLuck Casino,gambling,470700,1,0,15,1,13,  TRON,null,1
ToCandy,other,5.85987,1,0,0,1,341,  TRON,null,2
JUSTGAME - Endless Game,high-risk,2600000,1,0,0,1,3,  IOST,null,1
LiarGame,gambling,159.05,1,0,0,2,12,  IOST,null,1
HitDAPPs,gambling,20100,1,0,0,2,4,  TRON,null,5
TronEgypt,gambling,55800,1,1,5,1,5,  TRON,null,2
1UP,high-risk,31.181852,1,0,0,1,22,  TRON,null,1
TronVegas,gambling,570700,1,0,434400,2700,62500,  TRON,null,17
EvolutionLand,games,0.000355,1,0,0,1,3,  TRON,null,0
TronLucky,gambling,2500,1,0,2,1,9,  TRON,null,1
ZDICE,gambling,329.761646,1,0,0,2,24,  TRON,null,1
DEx.top,exchanges,204.16,1,0,0,16,68,  ETH,null,0
Tron CryptoSpin,gambling,50100,1,1,50,1,15,  TRON,null,1
TRONGOLD USA POOL,high-risk,531.758001,1,0,0,1,23,  TRON,null,1
PlanetCrypto,games,25600,1,0,0,1,3,  TRON,null,10
TronFaucet,other,28.98,1,0,0,4,5,  TRON,null,2
Hero bet,gambling,4600,1,0,15,1,29,  TRON,null,1
Slots Vegas,gambling,117000,1,0,25,1,30,  TRON,null,3
TronDrop,high-risk,4.778648,1,0,0,2,6,  TRON,null,1
Aftermath Islands,games,82.062822,1,0,0,4,30,  TRON,null,1
TRONGOLD,high-risk,4300,1,0,0,2,27,  TRON,null,1
Garden Of TRON,high-risk,8100,1,0,0,1,12,  TRON,null,0
ÇÈ_£ô_ ONTJOY,games,0,1,0,0,3,16,  ONT,null,2
Smart Town,games,3.222053,1,0,0,4,4,  TRON,null,1
D3T,high-risk,13200,1,0,32,1,18,  TRON,null,0
Fishbank,games,0.15,1,0,12,4,45,  ETH,null,12
Loteo,gambling,16.03,1,0,0,28,35,  ETH,null,2
Ethmoji Beta,games,0.25,1,12,12,3,7,  ETH,null,1
Wizards.one,games,60.49,1,0,0,4,35,  EOS,null,5
bountyblok.io,other,19.42,1,0,0,1300,56500,  EOS,null,0
Sand Hero,games,0.04,1,0,0,1,4,  EOS,null,1
BATDAPP,gambling,6,1,247300,1700000,2200,15300,  EOS,null,0
Alien Invasion,games,4.98,1,0,0,1,4,  EOS,null,0
tipit,other,15.07,1,0,0,60,782,  EOS,null,1
FireWall.X,other,8.12,1,0,0,9,20,  EOS,null,1
DeltaDex,exchanges,6.01,1,0,0,1,4,  EOS,null,0
Lucky Coin,gambling,36.24,1,0,0,3600,25100,  EOS,null,0
ChessDice,gambling,31.17,1,1,2,1,9,  EOS,null,3
LoveWin.io fair dice,gambling,0,1,0,0,1,4,  EOS,null,2
SignupEOS,other,0.66,1,0,15,5,28,  EOS,null,0
EOS BET50,gambling,0,1,0,0,1,9,  EOS,null,0
CoinEX,exchanges,0,1,0,0,1,4,  EOS,null,0
PPDice,gambling,75.71,1,0,0,1,3,  EOS,null,5
Top Bet,gambling,478.59,1,8,8,2,2,  EOS,null,1
EOSSWAP,exchanges,96.89,1,0,121,9,33,  EOS,null,2
Cryptocoingame,gambling,0.8,1,0,0,1,6,  EOS,null,0
LuckBet,gambling,9.74,1,0,0,1,4,  EOS,null,1
0xWarriors,games,585.69,1,0,3,2,18,  EOS,null,1
MDEX.ONE,exchanges,12.15,1,0,0,1,4,  EOS,null,1
TOOKTOOK,other,1.03,1,0,0,1,16,  EOS,null,1
irex,other,0,1,0,0,1,4,  EOS,null,0
Chain Entertainment - _ñ___ÎÂ±__,gambling,3400,1,567,17300,1,15,  EOS,null,0
EOS Bots,other,0,1,0,0,1,4,  EOS,null,1
pixEOS Paint FE,games,0,1,0,0,2,177,  EOS,null,1
CPUbaole,other,2400,1,0,0,5,79,  EOS,null,1
EOS100%ROI,high-risk,0,1,0,0,105,105,  EOS,null,1
VIPGAME,gambling,58.82,1,0,406,2900,21500,  EOS,null,2
Eos2Win,gambling,27.98,1,2,13,2,14,  EOS,null,2
eoslottowin,gambling,25.48,1,0,2,48,295,  EOS,null,1
smartsignature,other,163.06,1,0,0,1,3,  EOS,null,0
EOSex,exchanges,847.54,1,0,0,1,4,  EOS,null,2
TP _¢Îë,other,9.14,1,0,6,285,4500,  EOS,null,0
Time Forest,other,33.1,1,0,11,1,160,  EOS,null,2
BitPonies,collectibles,0.69,1,0,0,2,14,  ETH,null,0
win777,gambling,8,1,20,141,1,7,  ETH,null,0
Yesbit,other,5.9,1,0,20,48,338,  ETH,null,3
EtherKingdoms,games,88.2,1,0,0,1,6,  ETH,null,5
94ETH toolset,other,1.89,1,2,9900,1,14,  ETH,null,0
AwardCraft,high-risk,0,1,0,0,2,5,  EOS,null,1
SuperCountries,games,15.23,1,0,14,3,11,  ETH,null,4
DDEX,exchanges,0,1,0,0,24,28,  ETH,null,1
Skullys,collectibles,0.95,1,0,24,1,37,  ETH,null,8
CryptoWars,games,0,1,0,0,3,4,  ETH,null,1
Orderbook,exchanges,0,1,0,0,4,19,  ETH,null,0
BlackJack21,gambling,19.22,1,0,6,2,80,  EOS,null,1
0xWarriors,games,8.42,1,0,4,2,22,  ETH,null,4
Blockonix,exchanges,85.96,1,0,0,1,8,  ETH,null,1
Ether Goo - Idle Game,games,22.56,1,0,0,2,14,  ETH,null,3
Inxight,other,0,1,0,0,1,19,  ETH,null,1
CryptoPioneers,games,6.55,1,0,32,1,5,  ETH,null,0
Peepeth,other,0.64,1,0,0,13,133,  ETH,null,1
EOSPool Dice,gambling,18.9,1,0,0,1,4,  EOS,null,2
DAO Playmarket 2.0,marketplaces,0.39,1,0,0,1,25,  ETH,null,8
JDex,exchanges,50.5,1,0,0,1,8,  EOS,null,1
333 EOS,high-risk,0.85,1,0,0,1,7,  EOS,null,1
World's Most Expensive Artwork,other,0,1,0,0,1,7,  ETH,null,1
fomofive,gambling,94.95,1,0,0,1,1,  ETH,null,1
HyperETH,gambling,6.64,1,0,0,2,77,  ETH,null,0
Doubler,gambling,0,1,0,0,1,2,  ETH,null,0
Sound Money Coin,high-risk,0,1,0,0,6,6,  ETH,null,0
Good Luck Casino,gambling,9.08,1,8,28,2,7,  ETH,null,1
Ethex,gambling,155.52,1,0,547,2,218,  ETH,null,5
Hero bet,gambling,1.15,1,14,20,3,13,  ETH,null,1
Kudos,other,0,1,2,26,1,26,  ETH,null,1
luck100,gambling,0.01,1,2,2,1,1,  ETH,null,1
Fomo3D,gambling,1400,1,0,2,1,21,  ETH,null,0
Hedgie,collectibles,0,1,0,0,4,12,  ETH,null,2
Enclaves DEX,exchanges,8.61,1,92,92,6,9,  ETH,null,2
Dice3D,gambling,62.1,0,0,0,0,0,  EOS,null,1
HONGBAO.ONE,gambling,10.34,0,0,0,0,0,  EOS,null,7
EOSFUN.WIN,gambling,0,0,0,0,0,0,  EOS,null,1
SprtsHub Bets,gambling,0.06,0,0,0,0,0,  EOS,null,1
Eospotgame,gambling,867.53,0,0,0,0,0,  EOS,null,0
WARWAR.IO - _æ_»_Ö__,games,0,0,0,0,0,2,  EOS,null,1
BlackJack - FairEos,gambling,0,0,0,0,0,0,  EOS,null,0
GAKO Binary Option,gambling,9.42,0,0,0,0,0,  EOS,null,4
Bancor Network [EOS],exchanges,62500,0,0,0,0,0,  EOS,null,0
Lucky HILO,gambling,642.38,0,0,0,0,0,  EOS,null,5
PvP Poker - TOPDAPP,gambling,28.49,0,0,0,0,0,  EOS,null,1
EOS Fantasy,gambling,0,0,0,0,0,0,  EOS,null,1
TRUSTBET SICBO,gambling,311.88,0,0,0,0,0,  EOS,null,0
Best Dice,gambling,24.94,0,0,0,0,0,  EOS,null,1
PLAYFUN,gambling,3.73,0,0,0,0,0,  EOS,null,1
TAPSONIC VR,games,0,0,0,0,0,0,  EOS,null,1
BetOne,gambling,0,0,0,0,0,0,  EOS,null,1
CryptoPIX,games,0,0,0,0,0,0,  EOS,null,0
LuckyGo,gambling,1,0,0,0,0,0,  EOS,null,4
SuperStar,gambling,0,0,0,0,0,0,  EOS,null,0
EOSPop - Î_Ê±__±,other,15.41,0,0,0,0,0,  EOS,null,2
CaseGo,gambling,569.68,0,0,0,0,0,  EOS,null,0
EOSBank,high-risk,22.28,0,0,0,0,3,  EOS,null,0
FunCity,gambling,0.05,0,0,0,0,0,  EOS,null,0
Let's EOS,gambling,458.77,0,0,0,0,0,  EOS,null,1
EosJack - BlackJack,gambling,34.85,0,0,0,0,0,  EOS,null,1
Simple Market,collectibles,7.33,0,0,0,0,0,  EOS,null,1
AccountPhoto,other,0,0,0,0,0,0,  EOS,null,0
EOSVagas,gambling,3.26,0,0,0,0,0,  EOS,null,0
Bingo,gambling,0,0,0,0,0,0,  EOS,null,1
ENJOY,gambling,0,0,0,0,0,0,  EOS,null,6
BM DICE,gambling,3.82,0,0,0,0,0,  EOS,null,1
CasinoLord,gambling,0,0,0,0,0,0,  EOS,null,1
CrazyEOS,gambling,6.31,0,0,0,0,0,  EOS,null,0
Battle Trivia,games,1.3,0,0,2,0,2,  EOS,null,1
8 Bingo,gambling,0.05,0,0,0,0,0,  EOS,null,3
Rock Paper Scissors - PVP Games,gambling,0.44,0,0,0,0,0,  EOS,null,1
GOOD LUCK,gambling,1,0,0,0,0,0,  EOS,null,1
EOS RPS,gambling,2.8,0,0,0,0,0,  EOS,null,1
Nineblox,games,82.25,0,0,0,0,0,  EOS,null,5
Cryptosanguo,gambling,0,0,0,0,0,0,  EOS,null,1
Psi Gaming,gambling,138.6,0,0,0,0,0,  EOS,null,0
Gold Luckydog - Î_Ë_Ö_ïó,gambling,11.48,0,0,0,0,0,  EOS,null,3
EOSHappyPool,gambling,0,0,0,0,0,0,  EOS,null,0
2100.bet,gambling,4400,0,0,1000000,0,12700,  EOS,null,0
Magic Poker,gambling,0,0,0,0,0,0,  EOS,null,1
Small Targets - _ó__ËÎÁ_¬_æ,gambling,50.88,0,0,0,0,0,  EOS,null,1
Junken Punch,gambling,26.88,0,0,0,0,0,  EOS,null,1
Lucky Treasure Chest - Î_ËÎ¬¬±,gambling,27.46,0,0,0,0,1,  EOS,null,1
EOS World Map,gambling,0,0,0,0,0,0,  EOS,null,0
EOS Slots,gambling,2.85,0,0,0,0,0,  EOS,null,0
kolobok,collectibles,3.54,0,0,0,0,1,  EOS,null,0
EOSRAN,gambling,0,0,0,0,0,0,  EOS,null,1
EosDice,gambling,51.55,0,0,0,0,0,  EOS,null,2
EOS Sea Battle,games,0,0,0,0,0,0,  EOS,null,1
JacksBlue,gambling,2.43,0,0,0,0,0,  EOS,null,3
EOSGuess,gambling,0,0,0,0,0,0,  EOS,null,1
21Dice,gambling,0,0,0,0,0,0,  EOS,null,3
EOSRAN PVP ThreeCard,gambling,0,0,0,0,0,0,  EOS,null,1
Crypto Treasure - Î_æÎ¿ÊÎ¬,gambling,4.47,0,0,0,0,0,  EOS,null,0
Lucky Number,gambling,0,0,0,0,0,0,  EOS,null,0
DT Jockey Club,gambling,0,0,0,0,0,0,  EOS,null,0
DSlots.one,gambling,484.87,0,0,0,0,0,  EOS,null,2
Queen Vs King - EOS,gambling,1.43,0,0,0,0,0,  EOS,null,0
EOS Sports,gambling,0,0,0,0,0,0,  EOS,null,0
WishStellar,collectibles,55.21,0,0,0,0,0,  EOS,null,0
TimelockDApp,other,3.74,0,0,0,0,0,  EOS,null,1
DiceKing,gambling,0,0,0,0,0,0,  EOS,null,1
EOS Horse Race,gambling,0.42,0,0,0,0,0,  EOS,null,1
EOS Time,gambling,2.41,0,0,0,0,0,  EOS,null,3
EOS Fancy Farm,gambling,4,0,0,0,0,0,  EOS,null,1
token.store EOS,exchanges,119.57,0,0,83,0,28,  EOS,null,2
EOSZeal,gambling,0,0,0,0,0,0,  EOS,null,0
0xRacers,games,142.42,0,0,128,0,23,  EOS,null,1
Dice.Center,gambling,131.5,0,0,0,0,0,  EOS,null,1
Fishing Master Studio,games,730.26,0,0,0,0,0,  EOS,null,1
XY Land - Îë_Î«Ë__¢Îî¬,games,26.78,0,0,1800,0,2,  EOS,null,1
Lucky Nuts,gambling,0,0,0,0,0,0,  EOS,null,0
WINTOWN Î_ËÎ«_«_,gambling,1.81,0,0,0,0,0,  EOS,null,1
PUML Better Health,other,381.92,0,0,0,0,0,  EOS,null,1
Options - Î_ìô_,gambling,0,0,0,0,0,0,  EOS,null,1
Token Lottery,gambling,0.87,0,0,0,0,0,  EOS,null,1
BuyAChar.com,high-risk,55.11,0,0,0,0,0,  EOS,null,1
400EOS,high-risk,10,0,0,38,0,1,  EOS,null,1
jielong,gambling,0,0,0,0,0,0,  EOS,null,1
Dragon vs Tiger - ÎÂ_Áï_ô_-__»»___,gambling,2000,0,0,0,0,0,  EOS,null,1
EOS Pirates,gambling,1.2,0,0,0,0,0,  EOS,null,0
Crazydice,gambling,0,0,0,0,0,0,  EOS,null,0
Poseidonäó»s Challenge,gambling,3.7,0,0,0,0,0,  EOS,null,3
EOS LuckyMe,gambling,180.75,0,0,0,0,0,  EOS,null,2
TGON,gambling,0.01,0,0,0,0,0,  EOS,null,2
CryptoMeetup,other,23.55,0,0,0,0,0,  EOS,null,1
2020 Taiwan Election,high-risk,29.59,0,0,0,0,0,  EOS,null,0
Fishjoy,gambling,0,0,0,0,0,0,  EOS,null,5
ReliableBet,gambling,68,0,0,0,0,0,  EOS,null,1
EWG CRASH,gambling,0,0,0,0,0,0,  EOS,null,2
BigWinner,gambling,0.33,0,0,0,0,0,  EOS,null,1
WestWorld,gambling,0.31,0,0,0,0,0,  EOS,null,1
EOSFaker,gambling,0,0,0,0,0,0,  EOS,null,5
Banker.Bet,gambling,107.99,0,0,0,0,0,  EOS,null,1
Infiniverse,games,0,0,0,0,0,9,  EOS,null,1
GrowEOS,gambling,4.23,0,0,0,0,0,  EOS,null,1
RUN!PRICE,gambling,112.34,0,0,0,0,0,  EOS,null,1
EOSMAK,high-risk,2.05,0,0,0,0,0,  EOS,null,2
RichPoker,gambling,97.32,0,0,0,0,0,  EOS,null,1
Betmoon E-SPORT bets,gambling,0,0,0,0,0,0,  EOS,null,1
BET24,gambling,4.74,0,0,0,0,0,  EOS,null,0
The Jigsaw Games,games,0.08,0,0,0,0,0,  ETH,null,0
eos sicbo,gambling,0.24,0,0,0,0,0,  EOS,null,1
MC2 Cosmos,gambling,5.85,0,0,0,0,0,  ETH,null,1
Ether Chicken Farm,high-risk,0,0,0,0,0,0,  ETH,null,1
Crypto Rides,games,0.07,0,0,0,0,0,  ETH,null,1
EtherHolders,high-risk,0.19,0,0,0,0,0,  ETH,null,1
DGMonster,gambling,0.02,0,0,0,0,0,  ETH,null,1
foMoUnlimited,gambling,1.82,0,0,0,0,0,  ETH,null,1
CryptoFootball,games,0,0,0,0,0,0,  ETH,null,1
Ethergarden,games,0.01,0,0,0,0,0,  ETH,null,0
SmartLotteryGame,gambling,0.58,0,0,0,0,0,  ETH,null,0
One minute profit - EasyOption,high-risk,0,0,0,0,0,0,  ETH,null,1
Leprechaun,high-risk,0.03,0,0,0,0,0,  ETH,null,0
Ether Trump Farm,high-risk,0,0,0,0,0,0,  ETH,null,1
OneEther,gambling,0.54,0,0,0,0,0,  ETH,null,1
Crypto Poop Game,games,0,0,0,0,0,0,  ETH,null,1
CrypToss,gambling,0,0,0,0,0,0,  ETH,null,1
THE 30 DAYS,gambling,0.01,0,0,0,0,0,  ETH,null,1
LootEther,high-risk,0.05,0,0,0,0,0,  ETH,null,2
FOMO Super,gambling,2.42,0,0,0,0,0,  ETH,null,0
Cash Cow,games,0.41,0,0,0,0,0,  ETH,null,1
ETHERNAUTS.co,games,0,0,0,0,0,0,  ETH,null,5
Run Away,gambling,0.82,0,0,0,0,0,  ETH,null,0
WorldFomo,gambling,3.33,0,0,0,0,0,  ETH,null,1
Ethopia,games,0,0,0,0,0,0,  ETH,null,0
ImFomo,gambling,4.04,0,0,0,0,0,  ETH,null,1
SuperFOMO,high-risk,0.02,0,0,0,0,0,  ETH,null,1
Richer3D,gambling,2.39,0,0,0,0,0,  ETH,null,2
CityMayor,games,1.31,0,0,0,0,0,  ETH,null,0
Reality Clash,games,0,0,0,0,0,8,  ETH,null,2
Greed vs Fear,gambling,2.21,0,0,0,0,0,  ETH,null,2
FOMOGame,gambling,14.28,0,0,0,0,0,  ETH,null,1
GoT Dragon Farm,high-risk,0,0,0,0,0,0,  ETH,null,1
Floating Towers,games,0.01,0,0,0,0,0,  ETH,null,0
CreasureQuest,games,0,0,0,0,0,0,  ETH,null,1
etherdrop,gambling,0.22,0,0,0,0,0,  ETH,null,0
f3g,high-risk,0,0,0,0,0,0,  ETH,null,0
CryptoFeather,games,2.53,0,0,0,0,0,  ETH,null,2
Ethereum Chicken Farm,high-risk,0,0,0,0,0,4,  ETH,null,1
CryptoBeasties,games,0,0,0,0,0,0,  ETH,null,5
Dragon Tiger,gambling,0,0,0,0,0,0,  ETH,null,0
Amisdex,exchanges,0.09,0,0,0,0,7,  ETH,null,1
F3DGo,gambling,0.62,0,0,0,0,0,  ETH,null,1
Ether Crocs Farm,high-risk,0,0,0,0,0,0,  ETH,null,1
PotPotato,gambling,0,0,0,0,0,0,  ETH,null,1
RoboShamBo,gambling,153.96,0,0,0,0,0,  ETH,null,1
Rush Hour,gambling,0,0,0,0,0,0,  ETH,null,2
Grandiose,high-risk,0.14,0,0,0,0,0,  ETH,null,0
KittyJackpot,gambling,0.43,0,0,0,0,0,  ETH,null,1
Ether Cartel,games,0,0,0,0,0,0,  ETH,null,2
Aether,games,0,0,0,0,0,0,  ETH,null,2
0xowns.art,collectibles,0.01,0,0,0,0,0,  ETH,null,1
Slaughter3D,high-risk,1.38,0,0,0,0,0,  ETH,null,2
PepeDapp,collectibles,4.43,0,0,0,0,10,  ETH,null,0
0xCATE,other,0,0,0,0,0,0,  ETH,null,1
Ethex,exchanges,0.17,0,0,0,0,0,  ETH,null,1
D2W.bet,gambling,0.53,0,0,0,0,0,  ETH,null,2
TokenPark,gambling,0,0,0,0,0,0,  ETH,null,1
WaitOrReinvest,high-risk,0,0,0,0,0,0,  ETH,null,1
Ether League,games,0,0,0,0,0,0,  ETH,null,0
Eth Grid,other,0,0,0,0,0,0,  ETH,null,1
Crypto 3 kingdom,games,0,0,0,0,0,0,  ETH,null,1
MXRT's Tribes of War,collectibles,0.08,0,0,0,0,0,  ETH,null,0
12HourRush,high-risk,0,0,0,0,0,0,  ETH,null,1
NotFomo3D,gambling,0.01,0,0,0,0,0,  ETH,null,1
Ether Universe,games,0,0,0,0,0,0,  ETH,null,0
FortunePandas,collectibles,0,0,0,0,0,0,  ETH,null,1
CryptoFollowers,high-risk,0.01,0,0,0,0,0,  ETH,null,1
EthPark.cc,gambling,0,0,0,0,0,0,  ETH,null,2
Greedy 599,gambling,0.36,0,0,0,0,0,  ETH,null,1
Fish Farm,high-risk,0,0,0,0,0,0,  ETH,null,1
Ether Japanese Pornstars,games,0,0,0,0,0,0,  ETH,null,0
Last Pixel,gambling,1.53,0,0,0,0,0,  ETH,null,43
CoinFlash,high-risk,0.01,0,0,0,0,0,  ETH,null,0
Lucky Triple Star,gambling,0,0,0,0,0,0,  ETH,null,1
SuoHa.Me _¢_Îñ__,gambling,1.98,0,0,0,0,0,  ETH,null,0
Pepe Farm,high-risk,0,0,0,0,0,0,  ETH,null,0
Proof of Purchases Providing Yields,high-risk,0.06,0,0,0,0,0,  ETH,null,1
Snark.art,collectibles,0,0,0,0,0,0,  ETH,null,1
Game Of Swords,gambling,0.18,0,0,0,0,0,  ETH,null,2
666ETH,high-risk,0,0,0,0,0,0,  ETH,null,1
Halo 3D,other,1.93,0,0,0,0,0,  ETH,null,1
CryptoEmojis,games,0,0,0,0,0,0,  ETH,null,1
p3dank,high-risk,0.11,0,0,0,0,0,  ETH,null,1
Planet Crypto,games,1.23,0,0,0,0,0,  ETH,null,8
Loopr DEX,exchanges,0,0,0,0,0,0,  ETH,null,0
Choose your side,games,0,0,0,0,0,0,  ETH,null,0
graffethi,other,0,0,0,0,0,0,  ETH,null,0
ChainMonsters,games,0,0,0,0,0,5,  ETH,null,7
DSG - Dice,gambling,0,0,0,0,0,0,  ETH,null,3
Boostpro,high-risk,0.06,0,0,0,0,0,  ETH,null,1
Ethen,exchanges,44.6,0,0,0,0,0,  ETH,null,1
cryptohongkong,games,0,0,0,0,0,0,  ETH,null,1
CryptoJackpot,games,0.01,0,0,0,0,0,  ETH,null,0
DSG - Turntable,gambling,0,0,0,0,0,0,  ETH,null,3
Etherlife,high-risk,0,0,0,0,0,0,  ETH,null,1
Crypto Cards,high-risk,0,0,0,0,0,0,  ETH,null,0
F3DShop,gambling,0,0,0,0,0,0,  ETH,null,0
Own the Day,games,0.03,0,0,0,0,0,  ETH,null,0
DSG - CoinFlipper,gambling,0,0,0,0,0,0,  ETH,null,3
Double Profit,high-risk,0.04,0,0,0,0,0,  ETH,null,0
Vultur Social,other,0.07,0,0,0,0,0,  ETH,null,1
Giftomon,games,3.56,0,0,0,0,0,  ETH,null,0
CryptoPornstars,games,0,0,0,0,0,0,  ETH,null,1
Zethr,gambling,472.16,0,0,0,0,0,  ETH,null,0
Uroborus,high-risk,45.01,0,0,0,0,2,  ETH,null,1
EtherFarmDev Simulator,high-risk,0,0,0,0,0,0,  ETH,null,1
Revolution1,other,30.44,0,0,0,0,0,  ETH,null,1
Humanity Cards,games,0,0,0,0,0,0,  ETH,null,1
Invither,high-risk,0,0,0,0,0,0,  ETH,null,1
EthProfit.io,high-risk,0,0,0,0,0,0,  ETH,null,1
FlyToTheMoon,gambling,2.04,0,0,0,0,0,  ETH,null,1
Ethereum Cute Cat Farm,high-risk,0,0,0,0,0,0,  ETH,null,1
Etherich,other,0,0,0,0,0,0,  ETH,null,1
Winy,gambling,0,0,0,0,0,0,  ETH,null,1
E3D,high-risk,3.21,0,0,0,0,0,  ETH,null,1
50 Percent Daily,high-risk,0,0,0,0,0,0,  ETH,null,1
Retro Art Auction,collectibles,1.16,0,0,0,0,0,  ETH,null,1
Easy Invest 10,high-risk,0,0,0,0,0,0,  ETH,null,0
520 Gä_,high-risk,0.24,0,0,0,0,0,  ETH,null,0
ourPlace,other,0.02,0,0,0,0,0,  ETH,null,0
snowstorm,gambling,35.21,0,0,0,0,0,  ETH,null,1
Crypto Sim,games,0,0,0,0,0,0,  ETH,null,1
Betíapp,other,0,0,0,0,0,0,  ETH,null,0
RichCat,gambling,1.12,0,0,0,0,0,  ETH,null,6
Convergent Billboard,other,2.05,0,0,0,0,0,  ETH,null,1
SmartHash,high-risk,0,0,0,0,0,0,  ETH,null,1
PoohMo,gambling,5.8,0,0,0,0,0,  ETH,null,0
GeoEth,games,0,0,0,0,0,0,  ETH,null,1
PitchingPennies,gambling,0.04,0,0,0,0,0,  ETH,null,1
Cubego,games,0,0,0,0,0,0,  ETH,null,15
Pulsecoin,collectibles,0,0,0,0,0,0,  ETH,null,1
alias.earth,other,0,0,0,0,0,0,  ETH,null,1
CoinPledge,other,5.76,0,0,0,0,0,  ETH,null,1
Cryptographics,collectibles,0.39,0,0,2,0,4,  ETH,['https://github.com/DecenterApps/Cryptographics'],4
fiveshort,gambling,1.92,0,0,0,0,0,  ETH,null,1
Tiger Vs Dragon - EOS,gambling,24.38,0,0,0,0,0,  EOS,null,0
EthernalGo,games,0.18,0,0,0,0,0,  ETH,null,1
Start.Solar,other,0,0,0,0,0,0,  ETH,null,0
METADOLLAR DYNAMIC FUND,high-risk,0.15,0,0,0,0,0,  ETH,null,1
MultiToken,other,0,0,0,0,0,0,  ETH,null,19
"Moon, Inc. - Idle Game + Pyramids",games,7.69,0,0,0,0,0,  ETH,null,0
Ether Las Vegas,games,0,0,0,0,0,0,  ETH,null,1
Eth17,gambling,0,0,0,0,0,0,  ETH,null,1
Cryptozodiac,exchanges,0,0,0,0,0,0,  ETH,null,1
SolidStamp,other,0,0,0,0,0,0,  ETH,null,2
Cryptic Conjure,games,53.65,0,0,2,0,1,  ETH,null,0
Digital Art Chain,other,0,0,0,0,0,4,  ETH,null,1
CryptoConquest,games,0,0,0,0,0,0,  ETH,null,0
MyEther.DATE,gambling,0,0,0,0,0,0,  ETH,null,1
SnailThrone,high-risk,0.55,0,0,0,0,17,  ETH,null,1
Easy Invest 7,high-risk,0,0,0,0,0,0,  ETH,null,1
RatScam - One Hour,gambling,0.01,0,0,0,0,0,  ETH,null,0
EtherSpermBank,games,0.01,0,0,0,0,0,  ETH,null,1
CryptoPhoenixes,games,0.09,0,0,0,0,0,  ETH,null,2
EthPiranha,games,0,0,0,0,0,0,  ETH,null,2
InTime,gambling,6.45,0,0,0,0,0,  ETH,null,1
Space Cards,high-risk,0,0,0,0,0,0,  ETH,null,1
CryptoLibraries,games,0.04,0,0,0,0,0,  ETH,null,1
ETH Dinosaur Farmer,high-risk,0,0,0,0,0,0,  ETH,null,0
Crypto Surprise,games,0,0,0,0,0,0,  ETH,null,0
Stake Them ALL,games,1.15,0,0,0,0,0,  ETH,null,1
ETH-Lottery,gambling,0.02,0,0,0,0,0,  ETH,null,0
Eth Dragon Farm,high-risk,0.05,0,0,0,0,0,  ETH,null,0
CryptoSolarSystem,games,0,0,0,0,0,0,  ETH,null,0
CryptoFishing,gambling,1.69,0,0,0,0,0,  ETH,null,2
Crypto Miner Token,high-risk,91.84,0,0,0,0,0,  ETH,null,1
Lucky8D,gambling,0,0,0,0,0,0,  ETH,null,1
