,Name,Link,Github,Owner,Category,Blockchain
32,Origin Protocol,https://www.stateofthedapps.com/dapps/origin-protocol,https://github.com/originprotocol?utm_source=StateOfTheDApps,originprotocol,Marketplaces,Ethereum
33,Lescovex DEX,https://www.stateofthedapps.com/dapps/lescovex-dex,https://github.com/Lescovex/LSCX?utm_source=StateOfTheDApps,Lescovex,Exchanges,Ethereum
34,Balancer,https://www.stateofthedapps.com/dapps/balancer,https://github.com/balancer-labs?utm_source=StateOfTheDApps,balancer-labs,Finance,Ethereum
35,DeFi Yield Protocol,https://www.stateofthedapps.com/dapps/defi-yield-protocol,https://github.com/dypfinance?utm_source=StateOfTheDApps,dypfinance,Yield-farming,Ethereum
36,Kromatika,https://www.stateofthedapps.com/dapps/kromatika,https://github.com/Kromatika-Finance?utm_source=StateOfTheDApps,Kromatika-Finance,DeFi,Ethereum
37,Request Network,https://www.stateofthedapps.com/dapps/request-network,https://github.com/RequestNetwork?utm_source=StateOfTheDApps,RequestNetwork,Finance,Ethereum
38,Ostable,https://www.stateofthedapps.com/dapps/ostable,https://github.com/byteball/bonded-stablecoin-ui?utm_source=StateOfTheDApps,byteball,Finance,Obyte
39,Band Protocol,https://www.stateofthedapps.com/dapps/band-protocol,https://github.com/bandprotocol?utm_source=StateOfTheDApps,bandprotocol,Development,Ethereum
40,Aave Protocol,https://www.stateofthedapps.com/dapps/aave-protocol,https://github.com/aave?utm_source=StateOfTheDApps,aave,Finance,Ethereum
41,Storj,https://www.stateofthedapps.com/dapps/storj,https://github.com/Storj?utm_source=StateOfTheDApps,Storj,Tools,Ethereum
42,Unstoppable NFT Backup,https://www.stateofthedapps.com/dapps/unstoppable-nft-backup,https://github.com/aleph-im?utm_source=StateOfTheDApps,aleph-im,NFT,Ethereum
43,Quantstamp Security Network,https://www.stateofthedapps.com/dapps/quantstamp-security-network,https://github.com/quantstamp?utm_source=StateOfTheDApps,quantstamp,Security,Ethereum
