,Name,Link,Github,Owner,Category,Blockchain
53,Allbridge BSC,https://dapp.com/app/allbridge-bsc,https://github.com/allbridge-io,allbridge-io,Finance,BNB Chain
54,Router Protocol BSC,https://dapp.com/app/router-protocol-bsc,https://github.com/router-protocol/,router-protocol,Utilities,BNB Chain
55,Uniswap V1,https://dapp.com/app/uniswap,https://github.com/Uniswap,Uniswap,Exchange,Ethereum
56,EverRise BSC,https://dapp.com/app/everrise-bsc,https://github.com/everrise-ecosystem,everrise-ecosystem,Finance,BNB Chain
57,Allbridge ETH,https://dapp.com/app/allbridge-eth,https://github.com/allbridge-io,allbridge-io,Finance,Ethereum
58,Wault Finance,https://dapp.com/app/wault-finance,https://github.com/WaultFinance,WaultFinance,Finance,BNB Chain
59,BiFi BSC,https://dapp.com/app/bifi-bsc,https://github.com/bifrost-platform,bifrost-platform,Finance,BNB Chain
60,NiobFinance,https://dapp.com/app/niobfinance,https://github.com/niobfinance,niobfinance,Finance,BNB Chain
61,KyberSwap BSC,https://dapp.com/app/kyberswap-bsc,https://github.com/kyberNetwork/,kyberNetwork,Exchange,BNB Chain
62,Nemesis DAO,https://dapp.com/app/nemesis-dao,https://github.com/NemesisDao,NemesisDao,Finance,BNB Chain
63,Mooniswap,https://dapp.com/app/mooniswap,https://github.com/CryptoManiacsZone/mooniswap,CryptoManiacsZone,Exchange,Ethereum
64,Ram Protocol,https://dapp.com/app/ram-protocol,https://github.com/ram-protocol,ram-protocol,Finance,ThunderCore
65,ApeSwap Polygon,https://dapp.com/app/apeswap-polygon,https://github.com/ApeSwapFinance,ApeSwapFinance,Exchange,Polygon (Matic)
66,Elk Finance BSC,https://dapp.com/app/elk-finance-bsc,https://github.com/elkfinance,elkfinance,Exchange,BNB Chain
67,Router Protocol Ethereum,https://dapp.com/app/router-protocol-ethereum,https://github.com/router-protocol/,router-protocol,Utilities,Ethereum
68,XY Finance Polygon,https://dapp.com/app/xy-finance-polygon,https://github.com/XY-Finance,XY-Finance,Exchange,Polygon (Matic)
69,Acorn Finance,https://dapp.com/app/acorn-finance,https://github.com/acorn-finance,acorn-finance,Exchange,ThunderCore
70,LuaSwap,https://dapp.com/app/luaswap,https://github.com/tomochain?q=luaswap,tomochain?q=luaswap,Exchange,Ethereum
71,PRDT Finance Polygon,https://dapp.com/app/prdt-finance-polygon,https://github.com/PRDTfinance,PRDTfinance,Gambling,Polygon (Matic)
72,deBridge,https://dapp.com/app/debridge,https://github.com/debridge-finance/,debridge-finance,Finance,Ethereum
73,Typhoon Network,https://dapp.com/app/typhoon,https://github.com/typhoonnetwork/,typhoonnetwork,Utilities,BNB Chain
74,Elk Finance,https://dapp.com/app/elk-finance,https://github.com/elkfinance,elkfinance,Exchange,Polygon (Matic)
75,Atomex Tezos,https://dapp.com/app/atomex,https://github.com/atomex-me,atomex-me,Exchange,Tezos
76,Token BulkSender,https://dapp.com/app/token-bulksender-2,https://github.com/howeguo/Token-BulkSender,howeguo,Utilities,Ethereum
77,Nested Polygon,https://dapp.com/app/nested-polygon,https://github.com/NestedFinance/nested-core-lego,NestedFinance,Finance,Polygon (Matic)
78,Nested BSC,https://dapp.com/app/nested-bsc,https://github.com/NestedFinance/nested-core-lego,NestedFinance,Finance,BNB Chain
