,Name,Link,Github,Owner,Category,Blockchain
51,Million on Mars,https://dappradar.com/wax/games/million-on-mars,https://github.com/MillionOnMars,MillionOnMars,games,wax
52,Beefy Finance,https://dappradar.com/multichain/defi/beefy-finance,https://github.com/beefyfinance,beefyfinance,defi,multichain
53,Beamswap,https://dappradar.com/moonbeam/exchanges/beamswap,https://github.com/BeamSwap,BeamSwap,exchanges,moonbeam
54,TTSwap,https://dappradar.com/thundercore/exchanges/ttswap,https://github.com/thundercore,thundercore,exchanges,thundercore
55,EVER Surf,https://dappradar.com/everscale/defi/ever-surf,https://github.com/tonlabs/Surf-Releases,tonlabs,defi,everscale
56,SimpleAssets,https://dappradar.com/multichain/other/simpleassets,https://github.com/CryptoLions/SimpleAssets,CryptoLions,other,multichain
57,Tap Fantasy,https://dappradar.com/multichain/games/tap-fantasy,https://github.com/tapfantasy/,tapfantasy,games,multichain
58,ArthSwap,https://dappradar.com/astar/defi/arthswap,https://github.com/ArthSwap,ArthSwap,defi,astar
59,EverRise,https://dappradar.com/multichain/defi/everrise,https://github.com/everrise-ecosystem,everrise-ecosystem,defi,multichain
60,Benqi,https://dappradar.com/avalanche/defi/benqi,https://github.com/Benqi-fi,Benqi-fi,defi,avalanche
61,GiftDapp,https://dappradar.com/multichain/social/giftdapp,https://github.com/rigelprotocol,rigelprotocol,social,multichain
62,CUBE,https://dappradar.com/binance-smart-chain/marketplaces/cube,https://github.com/itamgames,itamgames,marketplaces,binance-smart-chain
63,PEAKDEFI,https://dappradar.com/binance-smart-chain/defi/peakdefi,https://github.com/peakdefi,peakdefi,defi,binance-smart-chain
64,ClaimSwap,https://dappradar.com/klaytn/defi/claimswap,https://github.com/claimswap,claimswap,defi,klaytn
65,TT Farm,https://dappradar.com/thundercore/defi/tt-farm,https://github.com/HenLisa,HenLisa,defi,thundercore
66,KAIDEX,https://dappradar.com/kardiachain/defi/kaidex,https://github.com/kardia-solutions/kaidex-core,kardia-solutions,defi,kardiachain
67,Clash Dome,https://dappradar.com/wax/games/clash-dome,https://github.com/ClashDome,ClashDome,games,wax
68,Alpaca Finance,https://dappradar.com/binance-smart-chain/defi/alpaca-finance,https://github.com/alpaca-finance,alpaca-finance,defi,binance-smart-chain
69,PRDT,https://dappradar.com/multichain/gambling/prdt,https://github.com/PRDTfinance,PRDTfinance,gambling,multichain
70,CherrySwap,https://dappradar.com/oec/defi/cherryswap,https://github.com/cherryswapnet,cherryswapnet,defi,oec
71,Burrow,https://dappradar.com/near/defi/burrow,https://github.com/NearDeFi/,NearDeFi,defi,near
72,Octus Bridge,https://dappradar.com/multichain/defi/octus-bridge,https://github.com/broxus/octusbridge-contracts,broxus,defi,multichain
73,Mones,https://dappradar.com/binance-smart-chain/games/mones,https://github.com/mones-nfts/mones-nfts,mones-nfts,games,binance-smart-chain
74,Versum,https://dappradar.com/tezos/marketplaces/versum,https://github.com/versumstudios,versumstudios,marketplaces,tezos
75,XY Finance,https://dappradar.com/multichain/exchanges/xy-finance,https://github.com/XY-Finance,XY-Finance,exchanges,multichain
76,Crypto Shots,https://dappradar.com/wax/games/crypto-shots,https://github.com/Crypto-Shots,Crypto-Shots,games,wax
77,ALEX,https://dappradar.com/stacks/defi/alex,https://github.com/alexgo-io,alexgo-io,defi,stacks
78,impactMarket,https://dappradar.com/celo/other/impactmarket,https://github.com/impactMarket,impactMarket,other,celo
79,ISTEP,https://dappradar.com/binance-smart-chain/games/istep,https://github.com/istepofficial/token-smartcontract,istepofficial,games,binance-smart-chain
80,Solarflare,https://dappradar.com/moonbeam/exchanges/solarflare,https://github.com/solarbeamio,solarbeamio,exchanges,moonbeam
81,KLAYMETA,https://dappradar.com/klaytn/games/klaymeta,https://github.com/KlayMeta,KlayMeta,games,klaytn
82,Larix,https://dappradar.com/solana/defi/larix,https://github.com/ProjectLarix,ProjectLarix,defi,solana
83,LEONICORN SWAP,https://dappradar.com/multichain/defi/leonicorn-swap,https://github.com/Leonicornswap,Leonicornswap,defi,multichain
84,Meta Pool,https://dappradar.com/near/defi/meta-pool,https://github.com/Narwallets/meta-pool,Narwallets,defi,near
85,Compound,https://dappradar.com/ethereum/defi/compound,https://github.com/compound-finance/compound-protocol,compound-finance,defi,ethereum
86,Aldrin,https://dappradar.com/solana/defi/aldrin,https://github.com/aldrin-exchange,aldrin-exchange,defi,solana
87,Cometh,https://dappradar.com/polygon/games/cometh,https://github.com/cometh-game,cometh-game,games,polygon
88,WigoSwap,https://dappradar.com/fantom/defi/wigoswap,https://github.com/wigoswap,wigoswap,defi,fantom
89,Folks Finance,https://dappradar.com/algorand/defi/folks-finance,https://github.com/Folks-Finance,Folks-Finance,defi,algorand
90,Mirror,https://dappradar.com/multichain/defi/mirror,https://github.com/Mirror-Protocol/mirror-web-app,Mirror-Protocol,defi,multichain
91,OpenLeverage,https://dappradar.com/multichain/defi/openleverage,https://github.com/OpenLeverageDev/openleverage-contracts,OpenLeverageDev,defi,multichain
92,Acorn Finance,https://dappradar.com/thundercore/exchanges/acorn-finance,https://github.com/acorn-finance,acorn-finance,exchanges,thundercore
93,WardenSwap,https://dappradar.com/multichain/defi/wardenswap,https://github.com/WardenSwap,WardenSwap,defi,multichain
94,BetSwirl,https://dappradar.com/multichain/gambling/betswirl,https://github.com/BetSwirl,BetSwirl,gambling,multichain
95,FlatQube,https://dappradar.com/everscale/defi/flatqube,https://github.com/broxus/ton-dex,broxus,defi,everscale
96,9D NFT,https://dappradar.com/binance-smart-chain/games/9d-nft,https://github.com/COGI-Technology/cogi_contracts,COGI-Technology,games,binance-smart-chain
97,dYdX,https://dappradar.com/ethereum/defi/dydx,https://github.com/dydxprotocol,dydxprotocol,defi,ethereum
98,Mento-fi,https://dappradar.com/celo/exchanges/mento-fi,https://github.com/celo-tools/mento-fi,celo-tools,exchanges,celo
99,zeroswap,https://dappradar.com/multichain/exchanges/zeroswap,https://github.com/ZeroSwapLabs,ZeroSwapLabs,exchanges,multichain
100,Depth,https://dappradar.com/multichain/defi/depth,https://github.com/depthfinance/contract,depthfinance,defi,multichain
101,Celestial,https://dappradar.com/multichain/games/celestial,https://github.com/CeltGame,CeltGame,games,multichain
102,Planbetter,https://dappradar.com/stacks/defi/planbetter,https://github.com/planbetter,planbetter,defi,stacks
103,NiobFinance,https://dappradar.com/binance-smart-chain/defi/niobfinance,https://github.com/niobfinance,niobfinance,defi,binance-smart-chain
104,Fuse staking,https://dappradar.com/fuse/defi/fuse-staking,https://github.com/fuseio,fuseio,defi,fuse
105,Sturdy Finance,https://dappradar.com/fantom/defi/sturdy-finance,https://github.com/sturdyfi,sturdyfi,defi,fantom
106,JulSwap,https://dappradar.com/binance-smart-chain/defi/julswap,https://github.com/justliquidity,justliquidity,defi,binance-smart-chain
107,Popcorn,https://dappradar.com/multichain/defi/popcorn,https://github.com/popcorndao/,popcorndao,defi,multichain
